CME;BP    ;202206;20211213;20220613;20220613;20220613;20220610
CME;BP    ;202209;20220319;20220919;20220919;20220919;20220916
CME;BP    ;202212;20220619;20221219;20221219;20221219;20221216
CME;BPM   ;202112;20210613;20211213;20211213;20211213;20211210
CME;BPM   ;202203;20210914;20220314;20220314;20220314;20220311
CME;BPM   ;202206;20211213;20220613;20220613;20220613;20220610
CME;BPM   ;202209;20220319;20220919;20220919;20220919;20220916
CME;BPM   ;202212;20220619;20221219;20221219;20221219;20221216
CME;CD    ;202112;20210614;20211214;20211214;20211214;20211211
CME;CD    ;202203;20210915;20220315;20220315;20220315;20220314
CME;CD    ;202206;20211214;20220614;20220614;20220614;20220613
CME;CD    ;202209;20220320;20220920;20220920;20220920;20220919
CME;CD    ;202212;20220620;20221220;20221220;20221220;20221219
CME;CDM   ;202112;20210613;20211213;20211213;20211213;20211210
CME;CDM   ;202203;20210915;20220315;20220315;20220315;20220314
CME;CDM   ;202206;20211214;20220614;20220614;20220614;20220613
CME;CDM   ;202209;20220320;20220920;20220920;20220920;20220919
CME;CDM   ;202212;20220620;20221220;20221220;20221220;20221219
CME;CNK   ;202112;20210609;20211210;20211209;20211209;20211210
CME;EC    ;202112;20210613;20211213;20211213;20211213;20211210
CME;EC    ;202203;20210914;20220314;20220314;20220314;20220311
CME;EC    ;202206;20211213;20220613;20220613;20220613;20220610
CME;EC    ;202209;20220319;20220919;20220919;20220919;20220916
CME;EC    ;202212;20220619;20221219;20221219;20221219;20221216
CME;ECM   ;202112;20210613;20211213;20211213;20211213;20211210
CME;ECM   ;202203;20210914;20220314;20220314;20220314;20220311
CME;ECM   ;202206;20211213;20220613;20220613;20220613;20220610
CME;ECM   ;202209;20220319;20220919;20220919;20220919;20220916
CME;ECM   ;202212;20220619;20221219;20221219;20221219;20221216
CME;ED    ;202112;20210613;20211213;20211213;20211213;20211214
CME;ES    ;202112;20210615;20211217;20211217;20211217;20211217
CME;ES    ;202203;20210915;20220318;20220318;20220318;20220318
CME;ES    ;202206;20211214;20220617;20220617;20220617;20220617
CME;ES    ;202209;20220320;20220916;20220916;20220916;20220916
CME;ES    ;202212;20220620;20221216;20221216;20221216;20221216
CME;FC    ;202111;20210518;20211118;20211118;20211118;20211119
CME;FC    ;202201;20211029;20220128;20220127;20220127;20220129
CME;FC    ;202203;20211119;20220401;20220331;20220331;20220401
CME;FC    ;202204;20220128;20220429;20220428;20220428;20220430
CME;FC    ;202205;20220401;20220527;20220526;20220526;20220528
CME;FC    ;202208;20220429;20220826;20220825;20220825;20220827
CME;FC    ;202209;20220527;20220930;20220929;20220929;20220931
CME;FC    ;202210;20220826;20221028;20221027;20221027;20221029
CME;FC    ;202211;20220930;20221125;20221124;20221124;20221126
CME;JY    ;202112;20210613;20211213;20211213;20211213;20211210
CME;JY    ;202203;20210914;20220314;20220314;20220314;20220311
CME;JY    ;202206;20211213;20220613;20220613;20220613;20220610
CME;JY    ;202209;20220319;20220919;20220919;20220919;20220916
CME;JY    ;202212;20220619;20221219;20221219;20221219;20221216
CME;JYM   ;202112;20210613;20211213;20211213;20211213;20211210
CME;JYM   ;202203;20210914;20220314;20220314;20220314;20220311
CME;JYM   ;202206;20211213;20220613;20220613;20220613;20220610
CME;JYM   ;202209;20220319;20220919;20220919;20220919;20220916
CME;JYM   ;202212;20220619;20221219;20221219;20221219;20221216
CME;LC    ;202112;20210607;20211231;20211206;20211231;20211203
CME;LC    ;202202;20211001;20220228;20220207;20220228;20220204
CME;LC    ;202204;20211203;20220429;20220404;20220429;20220401
CME;LC    ;202206;20220204;20220630;20220606;20220630;20220603
CME;LC    ;202208;20220401;20220831;20220808;20220831;20220805
CME;LC    ;202210;20220603;20221031;20221010;20221031;20221007
CME;LC    ;202212;20220805;20221230;20221205;20221230;20221202
CME;LH    ;202112;20210614;20211216;20211214;20211214;20211215
CME;LH    ;202202;20211015;20220216;20220214;20220214;20220215
CME;LH    ;202204;20211215;20220419;20220414;20220414;20220415
CME;LH    ;202205;20220215;20220517;20220513;20220513;20220514
CME;LH    ;202206;20220415;20220616;20220614;20220614;20220615
CME;LH    ;202207;20220514;20220719;20220715;20220715;20220716
CME;LH    ;202208;20220615;20220816;20220812;20220812;20220813
CME;LH    ;202210;20220716;20221018;20221014;20221014;20221015
CME;LH    ;202212;20220813;20221216;20221214;20221214;20221215
CME;M2K   ;202112;20210615;20211217;20211217;20211217;20211217
CME;M2K   ;202203;20210915;20220318;20220318;20220318;20220318
CME;M2K   ;202206;20211214;20220617;20220617;20220617;20220617
CME;M2K   ;202209;20220320;20220916;20220916;20220916;20220916
CME;M2K   ;202212;20220620;20221216;20221216;20221216;20221216
CME;MES   ;202112;20210615;20211217;20211217;20211217;20211217
CME;MES   ;202203;20210915;20220318;20220318;20220318;20220318
CME;MES   ;202206;20211214;20220617;20220617;20220617;20220617
CME;MES   ;202209;20220320;20220916;20220916;20220916;20220916
CME;MES   ;202212;20220620;20221216;20221216;20221216;20221216
CME;MNQ   ;202112;20210615;20211217;20211217;20211217;20211217
CME;MNQ   ;202203;20210915;20220318;20220318;20220318;20220318
CME;MNQ   ;202206;20211214;20220617;20220617;20220617;20220617
CME;MNQ   ;202209;20220320;20220916;20220916;20220916;20220916
CME;MNQ   ;202212;20220620;20221216;20221216;20221216;20221216
CME;MP    ;202112;20210613;20211213;20211213;20211213;20211210
