NYMEN    ;3;180000;4;171500;1
NYMEN    ;4;180000;5;171500;1
OSE      ;1;084500;1;151500;1
OSE      ;1;163000;2;060000;1
OSE      ;2;084500;2;151500;1
OSE      ;2;163000;3;060000;1
OSE      ;3;084500;3;151500;1
OSE      ;3;163000;4;060000;1
OSE      ;4;084500;4;151500;1
OSE      ;4;163000;5;060000;1
OSE      ;5;084500;5;151500;1
OSE      ;5;163000;6;060000;1
OSEIR    ;1;084500;1;110200;0
OSEIR    ;1;123000;1;150200;1
OSEIR    ;1;153000;2;060000;1
OSEIR    ;2;084500;2;110200;0
OSEIR    ;2;123000;2;150200;1
OSEIR    ;2;153000;3;060000;1
OSEIR    ;3;084500;3;110200;0
OSEIR    ;3;123000;3;150200;1
OSEIR    ;3;153000;4;060000;1
OSEIR    ;4;084500;4;110200;0
OSEIR    ;4;123000;4;150200;1
OSEIR    ;4;153000;5;060000;1
OSEIR    ;5;084500;5;110200;0
OSEIR    ;5;123000;5;150200;1
OSEIR    ;5;153000;6;060000;1
SMXCN    ;1;090000;1;163500;1
SMXCN    ;1;170000;2;051500;1
SMXCN    ;2;090000;2;163500;1
SMXCN    ;2;170000;3;051500;1
SMXCN    ;3;090000;3;163500;1
SMXCN    ;3;170000;4;051500;1
SMXCN    ;4;090000;4;163500;1
SMXCN    ;4;170000;5;051500;1
SMXCN    ;5;090000;5;163500;1
SMXCN    ;5;170000;6;051500;1
SMXFID   ;1;090000;1;173000;1
SMXFVN   ;1;090000;1;160500;1
SMXFVN   ;1;163000;2;051500;1
SMXFVN   ;2;090000;2;160500;1
SMXFVN   ;2;163000;3;051500;1
SMXFVN   ;3;090000;3;160500;1
SMXFVN   ;3;163000;4;051500;1
SMXFVN   ;4;090000;4;160500;1
SMXFVN   ;4;163000;5;051500;1
SMXFVN   ;5;090000;5;160500;1
SMXFVN   ;5;163000;6;051500;1
SMXID    ;1;090000;1;173000;1
SMXID    ;1;175500;2;051500;1
SMXID    ;2;090000;2;173000;1
SMXID    ;2;175500;3;051500;1
SMXID    ;3;090000;3;173000;1
SMXID    ;3;175500;4;051500;1
SMXID    ;4;090000;4;173000;1
SMXID    ;4;175500;5;051500;1
SMXID    ;5;090000;5;173000;1
SMXID    ;5;175500;6;051500;1
SMXIN    ;1;090000;1;181500;1
SMXIN    ;1;184000;2;051500;1
SMXIN    ;2;090000;2;181500;1
SMXIN    ;2;184000;3;051500;1
SMXIN    ;3;090000;3;181500;1
SMXIN    ;3;184000;4;051500;1
SMXIN    ;4;090000;4;181500;1
SMXIN    ;4;184000;5;051500;1
SMXIN    ;5;090000;5;181500;1
SMXIN    ;5;184000;6;051500;1
SMXIU    ;1;072500;1;193500;1
SMXIU    ;1;195000;2;051500;1
SMXIU    ;2;072500;2;193500;1
SMXIU    ;2;195000;3;051500;1
SMXIU    ;3;072500;3;193500;1
SMXIU    ;3;195000;4;051500;1
SMXIU    ;4;072500;4;193500;1
SMXIU    ;4;195000;5;051500;1
SMXIU    ;5;072500;5;193500;1
SMXIU    ;5;195000;6;051500;1
SMXNCH   ;1;072500;1;183000;1
SMXNCH   ;1;190000;2;051500;1
SMXNCH   ;2;072500;2;183000;1
SMXNCH   ;2;190000;3;051500;1
SMXNCH   ;3;072500;3;183000;1
SMXNCH   ;3;190000;4;051500;1
SMXNCH   ;4;072500;4;183000;1
SMXNCH   ;4;190000;5;051500;1
SMXNCH   ;5;072500;5;183000;1
SMXNCH   ;5;190000;6;051500;1
SMXNK    ;1;073000;1;143000;1
SMXNK    ;1;145500;2;051500;1
SMXNK    ;2;073000;2;143000;1
SMXNK    ;2;145500;3;051500;1
SMXNK    ;3;073000;3;143000;1
SMXNK    ;3;145500;4;051500;1
SMXNK    ;4;073000;4;143000;1
SMXNK    ;4;145500;5;051500;1
SMXNK    ;5;073000;5;143000;1
SMXNK    ;5;145500;6;051500;1
SMXSG    ;1;083000;1;172500;1
SMXSG    ;1;175000;2;051500;1
SMXSG    ;2;083000;2;172500;1
SMXSG    ;2;175000;3;051500;1
